Extensometer Strain (1e-6),Engineering Stress (MPa)
13981,268.3342
13953,266.4155
13936,265.13577
13920,263.87039
13901,262.43384
13883,261.27777
13861,259.82251
13846,258.63235
13828,257.3577
13807,255.94456
13789,254.87146
13768,253.38312
13751,252.29117
13731,250.96146
13712,249.64674
13696,248.56749
13675,247.07834
13660,246.08989
13641,244.69292
13620,243.46527
13603,242.3419
13582,240.83223
13568,239.85568
13548,238.42802
13529,237.24187
13514,236.11417
13491,234.63081
13477,233.66447
13454,232.19969
13437,231.08064
13420,229.9147
13400,228.53552
13383,227.55487
13364,226.15234
13346,225.0533
13325,223.83067
13308,222.52614
13292,221.46581
13269,220.08821
13255,219.02855
13236,217.7688
13220,216.54378
13198,215.35416
13180,214.11539
13165,213.03394
13146,211.74998
13130,210.68195
13111,209.44011
13095,208.27361
13076,207.1214
13058,205.86305
13042,204.79509
13022,203.47256
13007,202.4097
12990,201.21465
12968,199.95233
12954,198.90259
12933,197.56163
12917,196.60454
12899,195.30646
12881,194.1851
12867,193.13058
12844,191.75638
12832,190.83107
12811,189.50258
12792,188.41838
12777,187.32869
12754,185.95038
12741,185.045
12721,183.67574
12706,182.64806
12690,181.53119
12668,180.14348
12658,179.3519
12635,177.95671
12620,177.00014
12604,175.85422
12583,174.50993
12571,173.66916
12547,172.24533
12535,171.29659
12517,170.13205
12496,168.84453
12485,167.9529
12464,166.55556
12449,165.58115
12429,164.43285
12412,163.20201
12397,162.30595
12376,160.9501
12362,159.96346
12343,158.82338
12327,157.67357
12310,156.63895
12294,155.46245
12275,154.35359
12257,153.25682
12241,152.1055
12222,150.92807
12208,149.92351
12187,148.68021
12172,147.63469
12158,146.64146
12136,145.3454
12125,144.4621
12104,143.20497
12089,142.20044
12074,141.17729
12053,139.83391
12042,139.03497
12021,137.72166
12006,136.73878
11992,135.70473
11969,134.34035
11959,133.59015
11937,132.22551
11921,131.3472
11906,130.29826
11885,128.92651
11874,128.1927
11854,126.8558
11838,125.9045
11823,124.89107
11804,123.58929
11791,122.79509
11769,121.44157
