True Stress (Mpa),True Strain (microstrain)
266.6592528,9761.204059
266.6114117,9832.502129
266.6169485,9904.785262
266.7581689,9976.073096
266.9114503,10049.33585
266.9237772,10113.68385
267.009579,10184.95679
267.1438078,10258.20425
267.34662,10332.43606
267.3825312,10406.66236
267.4455417,10477.91443
267.5398245,10548.17191
267.5750319,10617.43502
267.5987817,10687.6827
267.8022798,10759.90405
267.9808984,10833.10941
268.0010343,10903.34194
268.0385467,10976.5368
268.1315965,11051.70432
268.3137559,11123.89938
268.321042,11192.13375
268.2801496,11261.35228
268.4303136,11335.50966
268.7412082,11412.62751
268.7875109,11484.79652
268.7736893,11557.94883
268.6466791,11625.16516
268.9376216,11697.31883
269.0288028,11768.479
269.0088866,11839.6341
269.1474294,11913.74862
269.3200325,11986.86956
269.4245415,12059.98515
269.4388115,12132.10746
269.4884467,12203.2367
269.5478048,12274.36088
269.6111171,12345.47999
269.6591096,12417.58171
269.9372898,12491.65341
270.0232441,12564.73211
269.9643626,12635.83058
269.9573888,12707.91137
270.1472743,12780.97426
270.2970452,12852.05736
270.2401442,12924.12257
270.2268317,12995.19549
270.5497704,13069.22442
270.7239382,13145.22175
270.6201976,13215.29209
270.5842989,13286.34433
270.707835,13359.36497
270.9032729,13434.3536
270.9104281,13503.4171
270.9723842,13573.46235
271.1378036,13647.44848
271.2502867,13722.41551
271.2483603,13793.43172
271.2636963,13866.41535
271.3449806,13938.4075
271.4522067,14008.42228
271.4894587,14081.39023
271.6766565,14153.3669
271.8619801,14227.31014
271.8214567,14300.26211
271.7158031,14370.25157
271.8984505,14446.15009
272.0666279,14516.12934
272.0280317,14586.10369
272.0587721,14655.08769
272.1918021,14727.02308
272.5010598,14803.87984
272.48212,14877.775
272.359246,14945.75372
272.4605459,15034.41467
272.6709579,15110.2628
272.69456,15181.18053
272.779288,15252.09322
272.878504,15326.94006
272.9633472,15400.79658
272.9903469,15473.66299
272.9816321,15545.53953
273.1593073,15614.45738
273.1806659,15686.32379
273.1966106,15756.21631
273.3912554,15829.05684
273.6178901,15905.82894
273.6062123,15981.61101
273.4867534,16053.45105
273.5408648,16136.10991
273.7940685,16207.93884
273.8505945,16280.74647
273.8070779,16348.62989
273.9657664,16424.37841
274.1226414,16503.0721
274.2295899,16576.8418
274.1201829,16647.6556
274.1671721,16726.33172
274.3640406,16797.13493
274.4231956,16868.91641
274.5004252,16941.67593
274.6444868,17017.37954
274.6948719,17098.97572
274.696406,17172.70148
274.7606404,17248.38761
274.8639102,17330.94776
274.9549261,17403.67368
274.9728197,17475.41163
275.0569973,17549.10964
275.2657924,17624.76728
275.337537,17708.27882
275.2191527,17777.04778
275.1734001,17846.79433
275.5347976,17921.44722
275.6505989,17995.11237
275.5900267,18063.86162
275.6404355,18135.55222
275.7953663,18209.2016
275.9467523,18282.84556
275.90145,18351.57503
275.922176,18422.26327
275.9690124,18494.90986
276.1344361,18564.60636
276.2753253,18637.24262
276.2787169,18708.89213
276.3823043,18779.55512
276.4118545,18849.23178
276.4265948,18919.88485
276.5608476,18994.45768
276.7081647,19066.0816
276.7279153,19136.71935
276.766015,19207.35212
276.908204,19280.9226
277.10098,19357.43017
276.9764098,19424.1243
276.9132053,19490.81398
277.0953064,19564.36362
277.303335,19637.90785
277.3869965,19704.58327
277.3363026,19775.17594
277.4084121,19845.76362
277.6291945,19921.24771
277.635459,19990.84488
277.5624471,20060.4372
277.6600564,20131.98482
277.8629141,20199.60731
278.0072908,20271.14498
278.0156121,20343.65738
278.097722,20413.22516
278.1101619,20484.74754
278.1006879,20555.28515
278.1848555,20627.77696
278.3297745,20694.38642
278.4205985,20760.99145
278.4570466,20832.48896
278.5532329,20903.98137
278.7158431,20977.42714
278.7535705,21047.93002
